ADAMS,ADAMS SA 
ARKABA,ARKABA SA 
BARNDIOOTA,BARNDIOOTA SA 
BOOLCUNDA,BOOLCUNDA SA 
BOOLLUNDA,BOOLLUNDA SA 
BRUCE,BRUCE SA 
CRADOCK,CRADOCK SA 
CUDLA MUDLA,CUDLA MUDLA SA 
FLINDERS RANGES,FLINDERS RANGES SA 
HAWKER,HAWKER SA 
KANYAKA,KANYAKA SA 
MOOCKRA,MOOCKRA SA 
PALMER,PALMER SA 
PICHI RICHI,PICHI RICHI SA 
QUORN,QUORN SA 
SALTIA,SALTIA SA 
SHAGGY RIDGE,SHAGGY RIDGE SA 
STEPHENSTON,STEPHENSTON SA 
WARCOWIE,WARCOWIE SA 
WILLOCHRA,WILLOCHRA SA 
WILMINGTON,WILMINGTON SA 
WIRREANDA,WIRREANDA SA 
WONOKA,WONOKA SA 
WOOLUNDUNGA,WOOLUNDUNGA SA 
WYACCA,WYACCA SA 
YARRAH,YARRAH SA 
YEDNALUE,YEDNALUE SA 
